bequeath,/bɪˈkwiːð/,v,遗赠，传下,to leave property or money to someone in a will,bequeath 可以拆分成 be 和 queath。be 在这里表示“成为”，而 queath 听起来像 quiet（安静）。所以你可以联想到 bequeath 是成为安静的状态，也就是遗赠的意思。
conform,/kənˈfɔːrm/,v,遵守，符合,"to obey or agree with a rule, law, or custom",conform 可以拆分成 con 和 form。con 在这里表示“一起”，而 form 听起来像 from（来自）。所以你可以联想到 conform 是一起来自某个地方，也就是遵守的意思。
attune,/əˈtjuːn/,v,使协调，使和谐,to make someone aware of what is happening around them,attune 可以拆分成 at 和 tune。at 在这里表示“在”，而 tune 听起来像 toon（卡通）。所以你可以联想到 attune 是在卡通中，也就是使协调、使和谐的意思。
attest,/əˈtest/,v,证实，作证,to show something or to say or prove that something is true,attest 可以拆分成 at 和 test。at 在这里表示“在”，而 test 听起来像 taste（品尝）。所以你可以联想到 attest 是在品尝中，也就是证实、作证的意思。
asparagus,/əˈspær.ə.ɡəs/,n,芦笋,"a plant with pale green, juicy stems that are cooked and eaten as a vegetable",asparagus 听起来像 a spare gas（一个备用的气体）。所以你可以联想到 asparagus 是一个备用的气体，也就是芦笋的意思。
crayon,/ˈkreɪ.ɒn/,n,蜡笔,a small stick of coloured wax used for drawing or writing,crayon 听起来像 cray on（在蜡笔上画画）。所以你可以联想到 crayon 是在蜡笔上画画的意思。
bravura,/brəˈvjʊə.rə/,n,华彩乐段，华彩技巧,"great skill shown in a difficult or complicated piece of music, dance, or writing",bravura 听起来像 brave aura（勇敢的光环）。所以你可以联想到 bravura 是勇敢的光环，也就是华彩乐段、华彩技巧的意思。
cavalier,/ˌkæv.əˈlɪər/,n,骑士，武士,a man in the past who behaved in a very confident way and who thought that he was very important,cavalier 听起来像 cavalry（骑兵）。所以你可以联想到 cavalier 是骑兵，也就是骑士、武士的意思。
blast,/blɑːst/,n,爆炸，冲击波,a powerful explosion or a sudden strong movement of air,blast 听起来像 blast（爆炸）。所以你可以联想到 blast 是爆炸、冲击波的意思。
bucket,/ˈbʌk.ɪt/,n,桶，水桶,"a container with an open top and a handle, often used for carrying liquids",bucket 听起来像 back it（背起来）。所以你可以联想到 bucket 是背起来的东西，也就是桶、水桶的意思。
advocate,/ˈæd.və.keɪt/,n,拥护者，提倡者,a person who publicly supports or recommends a particular cause or policy,将 advocate 分解成两个部分， ad 和 vocate 。 ad 在拉丁语中表示“向前”，而 vocate 听起来有点像 vocal （声音）。因此，你可以联想到 advocate 是一个向前发声的人，表示拥护、支持的意思
trowel,/ˈtraʊ.əl/,n,泥刀,"a small handheld tool with a flat, pointed blade, used to apply and spread mortar or plaster",trowel 听起来有点像 towel （毛巾）。因此，你可以联想到 trowel 是用来涂抹泥浆或灰泥的工具，就像用毛巾擦拭一样
contempt,/kənˈtempt/,n,蔑视，轻视,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn",contempt 听起来有点像 can't tempt （无法诱惑）。因此，你可以联想到 contempt 是对某人或某物不屑一顾、不值得考虑的感觉
furtive,/ˈfɜːr.tɪv/,adj,鬼鬼祟祟的,"attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble",furtive 听起来有点像 furry （毛茸茸的）。因此，你可以联想到 furtive 是指一个人或动物像毛茸茸的一样鬼鬼祟祟、躲躲闪闪的
satiated,/ˈseɪ.ʃi.eɪ.t̬ɪd/,adj,满足的，厌倦的,satisfied to the full; no longer wanting more,satiated 听起来有点像 satisfied （满意的）。因此，你可以联想到 satiated 是指一个人已经满足了，不再想要更多的东西
fickle,/ˈfɪk.əl/,adj,善变的，易变的,"changing frequently, especially as regards one's loyalties, interests, or affection",fickle 听起来有点像 tickle （挠痒痒）。因此，你可以联想到 fickle 是指一个人情绪容易被挠痒痒，善变、易变的
translucent,/trænzˈluː.sənt/,adj,半透明的,"allowing light, but not detailed shapes, to pass through; semitransparent",translucent 听起来有点像 transparent （透明的）。因此，你可以联想到 translucent 是指一个物体不完全透明，而是半透明的
